manifest_path,mnemonic,rom_path
3ds/Crayon Shin-chan - Gekiatsu! Oden wa Rudo Dai Konran!! (Japan).3ds,3ds,Crayon Shin-chan - Gekiatsu! Oden wa Rudo Dai Konran!! (Japan).3ds
3ds/Crayon Shin-chan - Uchuu de Achoo! - Yuujou no Oba-Karate!! (Japan).3ds,3ds,Crayon Shin-chan - Uchuu de Achoo! - Yuujou no Oba-Karate!! (Japan).3ds
"3ds/Crazy Construction (Europe) (En,Fr,De).3ds",3ds,"Crazy Construction (Europe) (En,Fr,De).3ds"
"3ds/Croods, The - Prehistoric Party! (Europe) (En,Fr,De,Es,It).3ds",3ds,"Croods, The - Prehistoric Party! (Europe) (En,Fr,De,Es,It).3ds"
3ds/Crosswords Plus (USA).3ds,3ds,Crosswords Plus (USA).3ds
"3ds/Crush 3D (Europe) (En,Fr,De,Es,It).3ds",3ds,"Crush 3D (Europe) (En,Fr,De,Es,It).3ds"
3ds/Cube Creator DX (Japan).3ds,3ds,Cube Creator DX (Japan).3ds
"3ds/Cube, The (Europe) (En,Es,It).3ds",3ds,"Cube, The (Europe) (En,Es,It).3ds"
"3ds/Cubic Ninja (Europe) (En,Fr,De,Es,It,Nl).3ds",3ds,"Cubic Ninja (Europe) (En,Fr,De,Es,It,Nl).3ds"
3ds/Culdcept (Japan).3ds,3ds,Culdcept (Japan).3ds
"3ds/Culdcept Revolt (Europe) (En,Fr,De,Es,It).3ds",3ds,"Culdcept Revolt (Europe) (En,Fr,De,Es,It).3ds"
"3ds/Cut the Rope - Triple Treat (Europe) (En,Fr,De,Es,It).3ds",3ds,"Cut the Rope - Triple Treat (Europe) (En,Fr,De,Es,It).3ds"
3ds/Dai Gyakuten Saiban - Naruhodou Ryuunosuke no Bouken (Japan).3ds,3ds,Dai Gyakuten Saiban - Naruhodou Ryuunosuke no Bouken (Japan).3ds
3ds/Daigassou! Band Brothers P (Japan).3ds,3ds,Daigassou! Band Brothers P (Japan).3ds
3ds/Dairantou Smash Bros. for Nintendo 3DS (Japan) (Rev 1).3ds,3ds,Dairantou Smash Bros. for Nintendo 3DS (Japan) (Rev 1).3ds
3ds/Daisenryaku Daitoua Koboshi DX - Dainiji Sekai Taisen (Japan).3ds,3ds,Daisenryaku Daitoua Koboshi DX - Dainiji Sekai Taisen (Japan).3ds
